run,source_run,shear_s_per_m,omega_0,time_coordinate_scale,training_seed,fresh_initialization_without_checkpoint_resume,traces_per_update,optimizer_updates,total_point_draws_including_repeats,target_trace_count,target_sample_count,target_snr_db,target_rmse,observed_model_rmse_before_reinsertion_native_record,observed_reinsertion_max_abs_difference,truth_rms,prediction_rms,uncentered_cosine,truth_energy,prediction_energy,truth_prediction_dot,error_energy,energy_identity_absolute_difference,final_batch_loss,training_seconds,outer_action_seconds
omega30_time12_shear0006,runs/study_031_c3_siren_10db/20260909T021337632365Z_1819109f28e1_siren,0.0006,30.0,12.0,20260908,True,14729,5000,28279680000,58999,22655616,11.342154102264281,2.692885844540137,2.3861108530327666,0.0,9.938609992960336,9.60591174282557,0.962600868627633,2237830414.4522877,2090513898.5110605,2082027036.898139,164290239.16707164,1.2516975402832031e-06,0.05754678236092522,1179.5276917144656,1216.6930833244696
omega30_time12_shear0,runs/study_031_c3_siren_10db/20260909T030400486453Z_1819109f28e1_siren,0.0,30.0,12.0,20260908,True,14729,5000,28279680000,58999,22655616,-3.148627264633568,14.280947143600079,5.241309192362915,0.0,9.938609992960336,9.732606223104703,-0.05399572238995242,2237830414.4522877,2146022049.0712605,-118328683.2452677,4620509830.014082,1.9073486328125e-06,0.2857096267839955,1112.745117213577,1140.3643801938742
