condition,step,interval_first_step,train_loss,waveform_mse,weighted_envelope_mse,envelope_weight_at_interval_last_step,unweighted_envelope_interval_mean,unweighted_envelope_null_reason,component_source
baseline,4200,4101,0.2919412337153955,0.2919412337153955,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4300,4201,0.29132685492238475,0.29132685492238475,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4400,4301,0.2904013593329886,0.2904013593329886,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4500,4401,0.2896688371510684,0.2896688371510684,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4600,4501,0.2891101540351636,0.2891101540351636,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4700,4601,0.2882529856690344,0.2882529856690344,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4800,4701,0.2877447831093972,0.2877447831093972,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4900,4801,0.28716345169724056,0.28716345169724056,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,5000,4901,0.2866215709735288,0.2866215709735288,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,100,1,0.9949971753181325,0.9949971753181325,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,200,101,0.8963301217782079,0.8963301217782079,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,300,201,0.5660525840117262,0.5660525840117262,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,400,301,0.42049545538871397,0.42049545538871397,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,500,401,0.37738270578489586,0.37738270578489586,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,600,501,0.359265616348162,0.359265616348162,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,700,601,0.3495622083890054,0.3495622083890054,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,800,701,0.3428606017950024,0.3428606017950024,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,900,801,0.33805533098418294,0.33805533098418294,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1000,901,0.33404459304359124,0.33404459304359124,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1100,1001,0.33101545807456667,0.33101545807456667,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1200,1101,0.3283250261542699,0.3283250261542699,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1300,1201,0.3261595901402957,0.3261595901402957,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1400,1301,0.3238899704691341,0.3238899704691341,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1500,1401,0.3219307585563102,0.3219307585563102,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1600,1501,0.32002943102056314,0.32002943102056314,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1700,1601,0.3181434033408474,0.3181434033408474,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1800,1701,0.3165463713379095,0.3165463713379095,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,1900,1801,0.3149672906881066,0.3149672906881066,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2000,1901,0.31326324101995,0.31326324101995,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2100,2001,0.3120126254948077,0.3120126254948077,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
