condition,source_run,initial_time_weight_scale,envelope_loss_enabled,target_snr_db,target_rmse,observed_model_rmse_before_reinsertion,final_step_waveform_mse,final_report_waveform_mse_mean,final_report_weighted_envelope_mse_mean,prediction_rms,uncentered_cosine,truth_rms,truth_energy,prediction_energy,truth_prediction_dot,error_energy,energy_identity_absolute_difference,training_seconds,outer_action_seconds,whole_native_process_peak_rss_kib,cuda_peak_allocated_bytes,full_saved_output_rescore_status,checkpoint_cpu_restoration_status,checkpoint_cpu_physical_relative_l2,checkpoint_cpu_normalized_difference_rmse,checkpoint_cpu_normalized_difference_max_abs,checkpoint_cpu_metric_null_reason,shared_row_ids_and_gains_identical,observed_reinsertion_max_abs_difference,all_prediction_samples_finite,strictly_exceeds_10db,passes_both_audit_types
baseline,runs/study_031_c3_siren_10db/20260909T030400486453Z_1819109f28e1_siren,1.0,False,-3.148627264633568,14.280947143600079,5.241309192362915,0.2857096267839955,0.2866215709735288,0.0,9.732606223104703,-0.05399572238995242,9.938609992960336,2237830414.4522877,2146022049.0712605,-118328683.2452677,4620509830.014082,1.9073486328125e-06,1112.745117213577,1140.3643801938742,1927352,2763041792,success,not_performed,,,,No ordinary CPU checkpoint restoration audit was performed for this baseline; do not infer a pass from saved-output rescoring.,True,0.0,True,False,False
time_init3,runs/study_031_c3_siren_10db/20260909T041346896156Z_1819109f28e1_siren,3.0,False,-3.0869791463547003,14.179946942546275,5.2204839856058145,0.2837082142000256,0.2844531938829285,0.0,9.678437160941733,-0.04482150843737741,9.938609992960336,2237830414.4522877,2122200166.9146993,-97677205.58855636,4555384992.5441,0.0,1111.4725930513814,1147.0131684299558,1936624,2763041792,success,failed_tolerance,0.006212893538279918,0.0057913908004002335,0.09053147235617505,,True,0.0,True,False,False
envelope,runs/study_031_c3_siren_10db/20260909T043544755153Z_1819109f28e1_siren,1.0,True,-1.630112551053866,11.99033386747048,5.221968458924152,0.2847715417948723,0.281599467016901,0.0,8.98610347605704,0.20019128393926375,9.938609992960336,2237830414.4522877,1829442253.5191724,405058829.823507,3257155008.324446,0.0,1441.3936727168038,1469.2988079730421,2255084,2763042816,success,failed_tolerance,0.004575216554872559,0.004411220075925403,0.07946835911759263,,True,0.0,True,False,False
time_init3_envelope,runs/study_031_c3_siren_10db/20260909T050203109381Z_1819109f28e1_siren,3.0,True,-2.704660490327111,13.569338392224049,5.539396575012698,0.3229054697789527,0.32053778595894117,0.0,9.607295007124073,0.036389357437910275,9.938609992960336,2237830414.4522877,2091116015.525147,78718541.16842124,4171509347.6405926,9.5367431640625e-07,1146.1195037802681,1172.5711099384353,2252164,2763042816,success,failed_tolerance,0.004642219191998962,0.004609805464797106,0.08894608651724216,,True,0.0,True,False,False
