step,cumulative_training_queries,cumulative_training_samples,cumulative_normalized_training_mse,last_batch_normalized_training_mse,validation_target_snr_db,validation_target_rmse,validation_target_reference_energy,validation_target_error_energy
1000,128000,49152000,0.3921543138470405,0.32607842491817834,2.8512272850237252,7.157548248839823,2237830414.4522996,1160658466.0365298
2000,256000,98304000,0.3065782492256769,0.14323426967097444,3.052411003816662,6.993669392708668,2237830414.4522996,1108118158.6500547
3000,384000,147456000,0.25599584412931553,0.09067269847866433,3.8284448581321584,6.39592563536596,2237830414.4522996,926792874.7737689
4000,512000,196608000,0.22564884517530068,0.07951572762199868,4.224540766746898,6.110807601383407,2237830414.4522996,846005322.6074296
5000,640000,245760000,0.19545893057225638,0.03337067548010423,7.400083722559927,4.23956660333075,2237830414.4522996,407210342.4520644
