run,domain,sample_count,truth_energy,prediction_energy,truth_prediction_dot,twice_truth_prediction_dot,uncentered_cosine,uncentered_cosine_definition,truth_rms,prediction_rms,prediction_to_truth_rms_ratio,direct_error_energy,identity_error_energy,identity_absolute_difference,identity_relative_tolerance,identity_verified,physical_prediction_rescaling_performed
435_traces_per_update,all_evaluation_target_samples,22655616,2237830414.4522877,867736524.8125114,-104166526.74159932,-208333053.48319864,-0.07475162850729207,"dot(truth,prediction)/sqrt(Etruth*Eprediction), without subtracting a mean",9.938609992960336,6.188793637454173,0.6227021325756608,3313899992.7479978,3313899992.7479978,0.0,5e-13,True,False
14729_traces_per_update,all_evaluation_target_samples,22655616,2237830414.4522877,2030840024.6527228,-71637367.71626417,-143274735.43252835,-0.033603783378716126,"dot(truth,prediction)/sqrt(Etruth*Eprediction), without subtracting a mean",9.938609992960336,9.467818406311453,0.9526300370995189,4411945174.5375395,4411945174.537539,9.5367431640625e-07,5e-13,True,False
