run,optimizer_step,native_interval_mean_loss,traces_per_update,points_per_update,cumulative_point_draw_count
435_traces_per_update,100,0.9995193475484848,435,167040,16704000
435_traces_per_update,200,0.9926680654287339,435,167040,33408000
435_traces_per_update,300,0.9762317591905594,435,167040,50112000
435_traces_per_update,400,0.9592533135414123,435,167040,66816000
435_traces_per_update,500,0.9460181081295014,435,167040,83520000
435_traces_per_update,600,0.935109423995018,435,167040,100224000
435_traces_per_update,700,0.9262994742393493,435,167040,116928000
435_traces_per_update,800,0.9195647728443146,435,167040,133632000
435_traces_per_update,900,0.913446689248085,435,167040,150336000
435_traces_per_update,1000,0.9096259301900864,435,167040,167040000
435_traces_per_update,1100,0.9043606662750244,435,167040,183744000
435_traces_per_update,1200,0.9017502576112747,435,167040,200448000
435_traces_per_update,1300,0.8987317115068436,435,167040,217152000
435_traces_per_update,1400,0.8958870726823807,435,167040,233856000
435_traces_per_update,1500,0.8933840620517731,435,167040,250560000
435_traces_per_update,1600,0.8907662081718445,435,167040,267264000
435_traces_per_update,1700,0.8878430235385895,435,167040,283968000
435_traces_per_update,1800,0.8845774513483048,435,167040,300672000
435_traces_per_update,1900,0.8815416371822358,435,167040,317376000
435_traces_per_update,2000,0.8765676552057267,435,167040,334080000
435_traces_per_update,2100,0.869431940317154,435,167040,350784000
435_traces_per_update,2200,0.8604306125640869,435,167040,367488000
435_traces_per_update,2300,0.8476511096954346,435,167040,384192000
435_traces_per_update,2400,0.8348628777265549,435,167040,400896000
435_traces_per_update,2500,0.8224517863988876,435,167040,417600000
435_traces_per_update,2600,0.808473687171936,435,167040,434304000
435_traces_per_update,2700,0.7928894948959351,435,167040,451008000
435_traces_per_update,2800,0.7771164184808731,435,167040,467712000
435_traces_per_update,2900,0.7624028182029724,435,167040,484416000
435_traces_per_update,3000,0.7454910945892333,435,167040,501120000
435_traces_per_update,3100,0.7293488401174545,435,167040,517824000
435_traces_per_update,3200,0.7125790774822235,435,167040,534528000
435_traces_per_update,3300,0.6993689197301864,435,167040,551232000
435_traces_per_update,3400,0.6821998834609986,435,167040,567936000
435_traces_per_update,3500,0.6641411286592483,435,167040,584640000
435_traces_per_update,3600,0.6477843773365021,435,167040,601344000
435_traces_per_update,3700,0.6278940236568451,435,167040,618048000
435_traces_per_update,3800,0.6093588095903396,435,167040,634752000
