step,cumulative_training_queries,cumulative_training_samples,cumulative_global_normalized_training_mse,last_batch_global_normalized_mse,full_validation_target_snr_db,full_validation_target_rmse,full_validation_target_error_energy
1000,128000,49152000,0.4604302970792811,0.14733634880181798,2.832687750729619,7.172841941863404,1165623774.7940385
2000,256000,98304000,0.37623139890981777,0.2726856288370904,3.5275667764195795,6.6213616588857125,993277263.5204067
3000,384000,147456000,0.3188101096537913,0.10250644540608926,3.8075660141345224,6.411318435261971,931259188.0770786
4000,512000,196608000,0.28498073529387175,0.09116619113593226,5.141793956845913,5.498395186198559,684932503.8502865
5000,640000,245760000,0.2499979987238124,0.04204254273703628,7.279707583806214,4.2987310003916654,418655126.60035497
