condition,evaluation_scope,amplitude_mode,numerical_policy,steps,trace_count,sample_count,snr_db,rmse,reference_energy,error_energy,saved_native_order_rescore,cross_run_energy_audit,cpu_restoration_audit,model_adopted,source_result
global_rms_tf32_5000,all_fixed_validation_targets_physical,train_global_rms,TF32 enabled,5000,58999,22655616,7.400222038002973,4.23949909235737,2237830414.4522996,407197373.6982853,passed,failed_tolerance,failed_tolerance,False,runs/study_032_c3_proposed_gnn_10db/20260909T070636656122Z_e39df16d563c_global5k_completion_handoff/verification/result.json
observed_trace_rms_fp32_5000,all_fixed_validation_targets_physical,observed_trace_rms,TF32 disabled,5000,58999,22655616,7.279707584432451,4.298731000081735,2237830414.4522996,418655126.53998643,passed,passed,passed,False,runs/study_032_c3_proposed_gnn_10db/20260909T081425547636Z_e39df16d563c_observed_rms_fp32_completion_handoff/verification/result.json
