step,cumulative_query_count,cumulative_sample_count,cumulative_relative_objective,last_batch_relative_objective,cumulative_global_normalized_physical_mse,last_batch_global_normalized_physical_mse,full_validation_target_snr_db,full_validation_target_rmse
1000,128000,49152000,0.413502752616829,0.23256483794530328,0.6311771448550382,0.052752955020895026,7.52691993051231,4.178107904950471
2000,256000,98304000,0.2952766920861938,0.13601024395500527,0.528891784625517,0.7673611048418049,11.00346168099179,2.7999647540102006
3000,384000,147456000,0.23579323360418453,0.11360387146819013,0.4225702224929719,0.02177092902590573,12.198739499701023,2.439993523214045
4000,512000,196608000,0.20186164491671177,0.09796391128114157,0.35224476358896784,0.17899545815081622,12.053977647832124,2.4810000106157717
5000,640000,245760000,0.17957711380914151,0.08104642666868403,0.3028480764971006,0.038822174088496385,11.935438246697885,2.5150911913682457
