epoch,learning_rate,loss_aggregation,sample_count,step,train_loss,loss_scope
7,0.0001,sample_weighted_mean,67108864,1600,0.07492520799860358,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1632,0.06449658671044745,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1664,0.056895198782513035,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1696,0.06353926356314332,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1728,0.07620954165759031,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1760,0.06616415590360702,complete_patch_sample_weighted_mean_over_previous32_updates
7,0.0001,sample_weighted_mean,67108864,1792,0.06872742614359595,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1824,0.07280048576649278,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1856,0.06691741155373165,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1888,0.07918101327959448,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1920,0.06728565547382459,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1952,0.06126207672059536,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,1984,0.06812899585929699,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,2016,0.06184904033489147,complete_patch_sample_weighted_mean_over_previous32_updates
8,0.0001,sample_weighted_mean,67108864,2048,0.05939445487456396,complete_patch_sample_weighted_mean_over_previous32_updates
