step,epoch,error_energy,metric_scope,missing_sample_count,patch_count,reference_energy,relative_squared_error,snr_db,snr_status
256,1,1059733820.5694267,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.7069804233835262,1.5059261185263395,finite
512,2,248009321.70499805,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.16545450551709906,7.813214020032397,finite
768,3,231234538.68355554,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.15426354135942616,8.117367029540254,finite
1024,4,216269937.73661214,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.1442802043101747,8.407932513639427,finite
1280,5,213007955.16642103,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.14210403726352497,8.4739358332261,finite
1536,6,194976677.73876986,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.1300748277558989,8.858067405210068,finite
1792,7,179939747.25404832,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.12004323748848172,9.20662300447928,finite
2048,8,177369254.81937495,selection_patch_instances_missing_only,26843136,32,1498957800.6950514,0.11832838438622531,9.269110651465322,finite
