run,native_run,checkpoint_role,trace_count,sample_count,reference_energy,error_energy,snr_db,snr_status,rmse,relative_l2,steps_completed,parameter_count,observed_fit_amplitude_rms,training_seconds,prediction_seconds,evaluation_seconds,outer_action_seconds
old,runs/study_028_c3_first_results/20260908T140522881249Z_edda0ae6aa06_siren/native,fixed_step_final,58999,22655616,2237830414.4522877,2237985099.6359725,-0.0003001862856955029,finite,9.938953479476723,1.0000345608205405,2000,199425,9.941172801367607,37.4255568664521,2.961052027530968,0.21818744577467442,51.1750467158854
new,runs/study_029_c3_amplitude_qc/20260909T000855786328Z_1819109f28e1_siren/native,fixed_step_final,58999,22655616,2237830414.4522877,2237985099.6359725,-0.0003001862856955029,finite,9.938953479476723,1.0000345608205405,2000,199425,9.941172801367607,4.088454372249544,0.8827108405530453,0.2158965766429901,15.407120449468493
