condition,error_energy,reference_energy,relative_l2,rmse,sample_count,snr_db,snr_status,trace_count,observed_model_rmse_before_reinsertion,fit_RMS,parameter_count,optimizer_updates,float32_matmul_precision,cuda_matmul_allow_tf32,training_cudnn_benchmark,prediction_cudnn_benchmark,current_fixed_audit_status,source_metrics
Study028 original baseline,2239222114.887406,2237830414.4522877,1.0003109002629826,9.941699909420828,22655616,-0.002700025675110851,finite,58999,9.94427247270484,8.295730426227824,7257,128,high,True,True,False,current_fixed_CPU_audit_not_performed,runs/study_028_c3_first_results/20260908T141318498508Z_edda0ae6aa06_ccnet-predict/native/metrics.json
Study033 QC FP32 baseline,2239220099.490983,2237830414.4522877,1.0003104501014175,9.941695435440598,22655616,-0.0026961168358141663,finite,58999,9.94426791770529,8.295730426227824,7257,128,highest,False,True,False,success,runs/study_033_c3_ccnet_10db/20260909T125622438333Z_5df55f375e66_ccnet-predict/native/metrics.json
