variant,traces_per_update,observed_pool_trace_count,observed_pool_coverage_fraction,observed_pool_coverage_percent,time_samples_per_trace,points_per_update,microbatch_size_points,microbatches_per_update,total_optimizer_updates,warmup_steps_excluded_from_timing,measured_timing_steps,median_step_seconds,p90_step_seconds,mean_step_seconds,points_per_second_at_median,peak_allocated_bytes,peak_allocated_gb_decimal,peak_reserved_bytes,peak_reserved_gb_decimal,peak_memory_update_count
t435_m262144,435,14729,0.02953357322289361,2.953357322289361,384,167040,262144,1,10,2,8,0.008958334103226662,0.010709452629089355,0.009415088454261422,18646323.97890079,1794512896,1.794512896,2017460224,2.017460224,10
t435_m524288,435,14729,0.02953357322289361,2.953357322289361,384,167040,524288,1,10,2,8,0.009420826099812984,0.011185898352414368,0.009955871966667473,17730929.13829669,1794512896,1.794512896,2017460224,2.017460224,10
t1740_m262144,1740,14729,0.11813429289157444,11.813429289157444,384,668160,262144,3,10,2,8,0.02844228269532323,0.0287827736698091,0.02842537104152143,23491785.352019783,2763041792,2.763041792,2984247296,2.984247296,10
t1740_m524288,1740,14729,0.11813429289157444,11.813429289157444,384,668160,524288,2,10,2,8,0.03209879621863365,0.03799441261216998,0.034238092135638,20815733.881388575,5454989312,5.454989312,5664407552,5.664407552,10
t6960_m262144,6960,14729,0.47253717156629776,47.253717156629776,384,2672640,262144,11,10,2,8,0.12336741387844086,0.13319311244413257,0.12010520766489208,21664067.64944806,2763041792,2.763041792,2984247296,2.984247296,10
t6960_m524288,6960,14729,0.47253717156629776,47.253717156629776,384,2672640,524288,6,10,2,8,0.10528005380183458,0.1250583237968385,0.10969811386894435,25386005.26392804,5455784960,5.45578496,5664407552,5.664407552,10
t14729_m262144,14729,14729,1.0,100.0,384,5655936,262144,22,10,2,8,0.23780081002041698,0.2627164354547858,0.24416158790700138,23784342.868783314,2763041792,2.763041792,2984247296,2.984247296,10
t14729_m524288,14729,14729,1.0,100.0,384,5655936,524288,11,10,2,8,0.2883026897907257,0.3164537109434605,0.28840291395317763,19618047.976262562,5455784960,5.45578496,5662310400,5.6623104,10
