run,optimizer_step,native_interval_mean_loss
full_no_shear,100,0.9975857696278905
full_no_shear,200,0.9452256713426885
full_no_shear,300,0.496923609214232
full_no_shear,400,0.35088212279744996
full_no_shear,500,0.3316051970899549
full_no_shear,600,0.3238935079784233
full_no_shear,700,0.318805357415729
full_no_shear,800,0.3150712794375659
full_no_shear,900,0.3122547210589779
full_no_shear,1000,0.30975938519110496
full_no_shear,1100,0.30764099835099723
full_no_shear,1200,0.3059559533079916
full_no_shear,1300,0.3042650174854497
full_no_shear,1400,0.3028750726501641
full_no_shear,1500,0.30131106503502225
full_no_shear,1600,0.3000053285067608
full_no_shear,1700,0.2985176101090544
full_no_shear,1800,0.29712668932238
full_no_shear,1900,0.2958128642825121
full_no_shear,2000,0.2946859118524099
full_no_shear,2100,0.29354323750914146
full_no_shear,2200,0.2925586370188215
full_no_shear,2300,0.29145399529823535
full_no_shear,2400,0.2905113259986008
full_no_shear,2500,0.2896252234460494
full_no_shear,2600,0.2888242153200007
full_no_shear,2700,0.28795225907142846
full_no_shear,2800,0.28712273105472785
full_no_shear,2900,0.28622870400444456
full_no_shear,3000,0.2854430405373666
full_no_shear,3100,0.2846228654130761
full_no_shear,3200,0.2836784708376955
full_no_shear,3300,0.2828161642660523
full_no_shear,3400,0.2819748191271658
full_no_shear,3500,0.2808240817847502
full_no_shear,3600,0.27985494597596683
full_no_shear,3700,0.2785860200239156
full_no_shear,3800,0.2773824274415645
full_no_shear,3900,0.2763583868692282
full_no_shear,4000,0.27508785046180617
full_no_shear,4100,0.2740521911380625
full_no_shear,4200,0.27295712770033775
full_no_shear,4300,0.2720648013675051
full_no_shear,4400,0.27094317834454634
full_no_shear,4500,0.2698326230862396
full_no_shear,4600,0.2690061650446391
full_no_shear,4700,0.26792200795819004
full_no_shear,4800,0.26712734058235965
full_no_shear,4900,0.2662656064750607
full_no_shear,5000,0.26547297466895076
full_fixed_shear,100,0.9637549147224799
full_fixed_shear,200,0.4008482019511897
full_fixed_shear,300,0.22872369372530335
full_fixed_shear,400,0.20327163692190373
full_fixed_shear,500,0.18871599839517905
full_fixed_shear,600,0.17846675489948413
full_fixed_shear,700,0.17020426557619317
full_fixed_shear,800,0.1640705874041919
full_fixed_shear,900,0.15923846521071794
full_fixed_shear,1000,0.15464794715864716
full_fixed_shear,1100,0.15136359017265694
full_fixed_shear,1200,0.1488134114823572
full_fixed_shear,1300,0.14572663309196793
full_fixed_shear,1400,0.14429073510581378
full_fixed_shear,1500,0.14167377545584872
full_fixed_shear,1600,0.13970226776000086
full_fixed_shear,1700,0.1379577893717631
full_fixed_shear,1800,0.1377993841723154
full_fixed_shear,1900,0.13469644691561328
full_fixed_shear,2000,0.1344344495019192
full_fixed_shear,2100,0.133459009456863
full_fixed_shear,2200,0.13075909108109995
full_fixed_shear,2300,0.13246137611477093
full_fixed_shear,2400,0.12865385245718539
full_fixed_shear,2500,0.1282738406878903
full_fixed_shear,2600,0.12924965174517522
full_fixed_shear,2700,0.12670236272160176
full_fixed_shear,2800,0.125563568344334
full_fixed_shear,2900,0.12550705590775632
full_fixed_shear,3000,0.12418142502652593
full_fixed_shear,3100,0.12366449468065778
full_fixed_shear,3200,0.12272043734999832
full_fixed_shear,3300,0.12347769202120082
full_fixed_shear,3400,0.12098783702277403
full_fixed_shear,3500,0.12189489229451639
full_fixed_shear,3600,0.11981712758275372
full_fixed_shear,3700,0.12109066429007703
full_fixed_shear,3800,0.11947434977469731
full_fixed_shear,3900,0.11800598296978221
full_fixed_shear,4000,0.11866157661627297
full_fixed_shear,4100,0.11805595544942006
full_fixed_shear,4200,0.11707479447713337
full_fixed_shear,4300,0.11739556459329563
full_fixed_shear,4400,0.11602959722805402
full_fixed_shear,4500,0.1156912150855633
full_fixed_shear,4600,0.11637192805073437
full_fixed_shear,4700,0.1144969543993121
full_fixed_shear,4800,0.11588954383606052
full_fixed_shear,4900,0.11415416047523186
full_fixed_shear,5000,0.11382588184428087
