cohort,scope,amplitude_mode,query_count,sample_count,width,parameter_count,steps,learning_rate,seed,physical_snr_db,physical_rmse,physical_error_energy,physical_reference_energy,condition_seconds,checkpoint_restore_bitwise_equal,source,source_sha256
fixed4_global_rms,fixed_training_four_queries_not_validation,train_global_rms,4,1536,32,27333,1000,0.001,20260908,20.090774711031017,1.1356126477571733,1980.8503077059445,202268.90732491907,89.44832413177937,True,runs/study_032_c3_proposed_gnn_10db/20260909T055522574642Z_e39df16d563c_fixed_training_fit/lr_1e-3/result.json,1141a8f4f49fbee72cf82d858af149d5b38624afe9c3dafa965bf9bdad38f915
fixed4_observed_trace_rms,fixed_training_four_queries_not_validation,observed_trace_rms,4,1536,32,27333,1000,0.001,20260908,21.100294681514264,1.0110071389705064,1570.0000282357694,202268.90732491907,89.10278366319835,True,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
